mode,horizon,status,error,model,group,complexity_rank,runtime_seconds,MAE,RMSE,R2,recall_unhealthy_plus,mae_top5,threshold_95,n_test,tuned,best_params,rank_mae,selected_champion
operational,1,ok,,ElasticNet,tabular_linear,1,5.0581,6.0196,10.7178,0.891562,0.952353,13.8333,121.1,2172,True,"{""elasticnet__l1_ratio"": 0.95, ""elasticnet__alpha"": 0.1}",1.0,False
operational,1,ok,,SARIMAX,statistical,1,27.5435,6.0606,10.7524,0.890861,0.951757,13.5417,121.1,2172,False,,2.0,False
operational,1,ok,,Ridge,tabular_linear,1,3.019,6.0777,10.7241,0.891434,0.946397,13.5159,121.1,2172,True,"{""ridge__alpha"": 100.0}",3.0,True
operational,1,ok,,ExtraTrees,tabular_tree,2,0.9074,6.16,10.8225,0.889434,0.9595,15.505,121.1,2172,False,,4.0,False
operational,1,ok,,XGBoost,tabular_boosting,2,33.2396,6.1779,10.7974,0.889945,0.963669,17.8972,121.1,2172,True,"{""subsample"": 0.6, ""n_estimators"": 100, ""max_depth"": 4, ""learning_rate"": 0.05, ""colsample_bytree"": 0.7}",5.0,False
operational,1,ok,,RandomForest,tabular_tree,2,4.0603,6.1782,11.0616,0.884494,0.953544,14.6648,121.1,2172,False,,6.0,False
operational,1,ok,,LightGBM,tabular_boosting,2,43.2722,6.1807,10.8943,0.887962,0.966647,16.272,121.1,2172,True,"{""subsample"": 1.0, ""num_leaves"": 63, ""n_estimators"": 500, ""max_depth"": 4, ""learning_rate"": 0.01, ""colsample_bytree"": 0.8}",7.0,False
operational,1,ok,,Persistence,corrected_baseline,0,0.0,6.2568,11.3591,0.878197,0.9595,13.3191,121.1,2172,,,8.0,False
operational,1,ok,,WindowRidge_168h,sequential_window,2,0.5983,9.9509,16.4666,0.744038,0.941036,22.9169,121.1,2172,True,"{""ridge__alpha"": 20.0}",9.0,False
operational,1,ok,,WindowMLP_168h,sequential_window,3,4.1501,11.9564,18.1462,0.689159,0.923764,25.8125,121.1,2172,False,,10.0,False
