mode,horizon,model,group,runtime_seconds,status,error
operational,1,Ridge,tabular_linear,5.7164,ok,
operational,1,ElasticNet,tabular_linear,2.0779,ok,
operational,1,SARIMAX,statistical,41.6666,ok,
operational,1,XGBoost,tabular_boosting,60.6377,ok,
operational,1,LightGBM,tabular_boosting,48.4792,ok,
operational,1,ExtraTrees,tabular_tree,1.4234,ok,
operational,1,RandomForest,tabular_tree,6.3649,ok,
operational,1,Persistence,corrected_baseline,0.0,ok,
operational,1,WindowRidge_168h,sequential_window,0.5982,ok,
operational,1,WindowMLP_168h,sequential_window,6.694,ok,
operational,1,RollingMean_24h,corrected_baseline,0.0,ok,
operational,1,RollingMean_168h,corrected_baseline,0.0,ok,
operational,1,SeasonalNaive_24h,corrected_baseline,0.0,ok,
operational,1,SeasonalNaive_168h,corrected_baseline,0.0,ok,
operational,24,ElasticNet,tabular_linear,1.9551,ok,
operational,24,LightGBM,tabular_boosting,44.4685,ok,
operational,24,RandomForest,tabular_tree,6.5508,ok,
operational,24,WindowRidge_168h,sequential_window,0.5351,ok,
operational,24,XGBoost,tabular_boosting,63.6344,ok,
operational,24,SARIMAX,statistical,27.6137,ok,
operational,24,ExtraTrees,tabular_tree,1.4902,ok,
operational,24,Ridge,tabular_linear,0.2792,ok,
operational,24,RollingMean_168h,corrected_baseline,0.0,ok,
operational,24,RollingMean_24h,corrected_baseline,0.0,ok,
operational,24,Persistence,corrected_baseline,0.0,ok,
operational,24,SeasonalNaive_24h,corrected_baseline,0.0,ok,
operational,24,WindowMLP_168h,sequential_window,6.5962,ok,
operational,24,SeasonalNaive_168h,corrected_baseline,0.0,ok,
operational,48,WindowRidge_168h,sequential_window,0.4674,ok,
operational,48,ElasticNet,tabular_linear,2.1458,ok,
operational,48,RollingMean_168h,corrected_baseline,0.0,ok,
operational,48,XGBoost,tabular_boosting,51.9329,ok,
operational,48,SARIMAX,statistical,25.2811,ok,
operational,48,LightGBM,tabular_boosting,14.5069,ok,
operational,48,ExtraTrees,tabular_tree,1.3164,ok,
operational,48,Ridge,tabular_linear,0.2837,ok,
operational,48,RollingMean_24h,corrected_baseline,0.0,ok,
operational,48,RandomForest,tabular_tree,5.0498,ok,
operational,48,Persistence,corrected_baseline,0.0,ok,
operational,48,WindowMLP_168h,sequential_window,6.7362,ok,
operational,48,SeasonalNaive_168h,corrected_baseline,0.0,ok,
operational,72,WindowRidge_168h,sequential_window,0.4284,ok,
operational,72,RollingMean_168h,corrected_baseline,0.0,ok,
operational,72,ElasticNet,tabular_linear,1.4772,ok,
operational,72,LightGBM,tabular_boosting,11.1755,ok,
operational,72,RollingMean_24h,corrected_baseline,0.0,ok,
operational,72,SARIMAX,statistical,20.9277,ok,
operational,72,Ridge,tabular_linear,0.229,ok,
operational,72,Persistence,corrected_baseline,0.0,ok,
operational,72,ExtraTrees,tabular_tree,0.9621,ok,
operational,72,XGBoost,tabular_boosting,48.3077,ok,
operational,72,RandomForest,tabular_tree,4.2964,ok,
operational,72,WindowMLP_168h,sequential_window,3.815,ok,
operational,72,SeasonalNaive_168h,corrected_baseline,0.0,ok,
